9.94E-03,-1.33E+03
1.05E-02,-1.34E+03
1.10E-02,-1.34E+03
1.15E-02,-1.34E+03
1.20E-02,-1.33E+03
1.25E-02,-1.36E+03
1.30E-02,-1.32E+03
1.35E-02,-1.33E+03
1.40E-02,-1.32E+03
1.44E-02,-1.33E+03
1.49E-02,-1.34E+03
1.53E-02,-1.34E+03
1.57E-02,-1.32E+03
1.61E-02,-1.32E+03
1.65E-02,-1.33E+03
1.69E-02,-1.31E+03
1.72E-02,-1.32E+03
1.76E-02,-1.31E+03
1.79E-02,-1.30E+03
1.83E-02,-1.31E+03
1.86E-02,-1.30E+03
1.89E-02,-1.31E+03
1.93E-02,-1.31E+03
1.96E-02,-1.31E+03
2.00E-02,-1.30E+03
2.03E-02,-1.30E+03
2.07E-02,-1.29E+03
2.10E-02,-1.29E+03
2.13E-02,-1.28E+03
2.16E-02,-1.28E+03
2.19E-02,-1.27E+03
2.22E-02,-1.27E+03
2.25E-02,-1.27E+03
2.27E-02,-1.26E+03
2.30E-02,-1.26E+03
2.33E-02,-1.26E+03
2.35E-02,-1.26E+03
2.38E-02,-1.25E+03
2.40E-02,-1.25E+03
2.43E-02,-1.25E+03
2.45E-02,-1.25E+03
2.48E-02,-1.24E+03
2.50E-02,-1.24E+03
2.52E-02,-1.24E+03
2.55E-02,-1.23E+03
2.57E-02,-1.23E+03
2.59E-02,-1.23E+03
2.61E-02,-1.23E+03
2.63E-02,-1.22E+03
2.65E-02,-1.22E+03
2.67E-02,-1.21E+03
2.69E-02,-1.21E+03
2.71E-02,-1.21E+03
2.73E-02,-1.20E+03
2.75E-02,-1.20E+03
2.77E-02,-1.20E+03
2.79E-02,-1.19E+03
2.81E-02,-1.19E+03
2.83E-02,-1.19E+03
2.84E-02,-1.18E+03
2.86E-02,-1.18E+03
2.88E-02,-1.18E+03
2.89E-02,-1.17E+03
2.91E-02,-1.17E+03
2.92E-02,-1.17E+03
2.93E-02,-1.17E+03
2.94E-02,-1.17E+03
2.96E-02,-1.17E+03
2.97E-02,-1.17E+03
2.98E-02,-1.17E+03
2.99E-02,-1.17E+03
3.00E-02,-1.16E+03
3.02E-02,-1.16E+03
3.03E-02,-1.16E+03
3.04E-02,-1.16E+03
